"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment","last_recorded","ctp_id"
20201224,"NJ","CAMDEN","CAMDEN","ABIGAIL HOUSE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315267",,,"OPEN",,"3",,,,"11",,,,,,,,"3",,"0",,"8",,"0",,,,,,,,,"20201224","NJ00001"
20201224,"NJ","SOMERSET","GREEN BROOK TWP","ABINGDON CARE AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315141",,,"OPEN",,"130",,"24",,"37",,"1",,,,,,"6",,"0",,"3",,"0",,,,,,,,,"20201224","NJ00003"
20201224,"NJ","GLOUCESTER","MANTUA","ADVANCED SUBACUTE REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315516",,,"OPEN",,"79",,"34",,"52",,,,,,,,"12",,"3",,"9",,"0",,,,,,,,,"20201224","NJ00005"
20201224,"NJ","MIDDLESEX","PERTH AMBOY","ALAMEDA CENTER FOR REHABILITATION AND HEALTHCARE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315180",,,"OPEN",,"87",,"26",,"86",,"2",,,,,,"0",,"0",,"6",,"0",,,,,,,,,"20201224","NJ00007"
20201224,"NJ","ESSEX","WEST ORANGE","ALARIS AT WEST ORANGE","UNCATEGORIZED LTC","UNCATEGORIZED LTC","State",," ",,,"OPEN",,"1",,,,"3",,,,,,,,"1",,"0",,"3",,"0",,,,,,,,,"20201224","NJ00427"
20201224,"NJ","HUDSON","KEARNY","ALARIS HEALTH AT BELGROVE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315366",,,"OPEN",,"46",,"2",,"40",,,,,,,,"24",,"0",,"9",,"0",,,,,,,,,"20201224","NJ00009"
20201224,"NJ","HUDSON","UNION CITY","ALARIS HEALTH AT CASTLE HILL","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315344",,,"OPEN",,"79",,"22",,"43",,"1",,,,,,"6",,"3",,"5",,"0",,,,,,,,,"20201224","NJ00011"
20201224,"NJ","ESSEX","MONTCLAIR","ALARIS HEALTH AT CEDAR GROVE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315357",,,"OPEN",,"3",,,,"8",,,,,,,,"3",,"0",,"8",,"0",,,,,,,,,"20201224","NJ00013"
20201224,"NJ","ESSEX","IRVINGTON","ALARIS HEALTH AT ESSEX","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315359",,,"OPEN",,"62",,"21",,"44",,,,,,,,"1",,"0",,"2",,"0",,,,,,,,,"20201224","NJ00014"
20201224,"NJ","HUDSON","JERSEY CITY","ALARIS HEALTH AT HAMILTON PARK","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315300",,,"OPEN",,"122",,"33",,"80",,"2",,,,,,"122",,"33",,"80",,"2",,,,,,,,,"20201224","NJ00018"
20201224,"NJ","HUDSON","JERSEY CITY","ALARIS HEALTH AT JERSEY CITY","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315083",,,"OPEN",,"56",,"8",,"41",,,,,,,,"0",,"0",,"4",,"0",,,,,,,,,"20201224","NJ00020"
20201224,"NJ","HUDSON","KEARNY","ALARIS HEALTH AT KEARNY","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315192",,,"OPEN",,"69",,"28",,"27",,,,,,,,"0",,"0",,"3",,"0",,,,,,,,,"20201224","NJ00022"
20201224,"NJ","UNION","RAHWAY","ALARIS HEALTH AT RIVERTON","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315198",,,"OPEN",,"64",,"22",,"47",,,,,,,,"1",,"0",,"11",,"0",,,,,,,,,"20201224","NJ00023"
20201224,"NJ","BERGEN","ROCHELLE PARK","ALARIS HEALTH AT ROCHELLE PARK","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315308",,,"OPEN",,"89",,"16",,"39",,,,,,,,"7",,"1",,"2",,"0",,,,,,,,,"20201224","NJ00024"
20201224,"NJ","ESSEX","ORANGE","ALARIS HEALTH AT ST. MARY'S","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315352",,,"OPEN",,"2",,,,"13",,,,,,,,"2",,"0",,"13",,"0",,,,,,,,,"20201224","NJ00025"
20201224,"NJ","HUDSON","JERSEY CITY","ALARIS HEALTH AT THE ATRIUM","UNCATEGORIZED LTC","UNCATEGORIZED LTC","State",," ",,,"OPEN",,"24",,"5",,"14",,"1",,,,,,"1",,"1",,"2",,"0",,,,,,,,,"20201224","NJ00433"
20201224,"NJ","BERGEN","ROCHELLE PARK","ALARIS HEALTH AT THE CHATEAU","UNCATEGORIZED LTC","NURSING HOME","Federal",,"315494",,,"OPEN",,"29",,"6",,"47",,,,,,,,"6",,"1",,"23",,"0",,,,,,,,,"20201224","NJ00026"
20201224,"NJ","OCEAN","TOMS RIVER TWP","ALCOEUR GARDENS AT TOMS RIVER","UNCATEGORIZED LTC","UNCATEGORIZED LTC","State",," ",,,"OPEN",,"25",,"9",,"18",,,,,,,,"7",,"1",,"12",,"0",,,,,,,,,"20201224","NJ00439"
