"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment"
20200820,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"1",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20200827,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200903,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"1",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20200917,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,"1",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20200924,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"1",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20201001,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"2",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20201105,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201112,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,"4",,"1",,"6",,,,,,,,,,,,,,,,,,,,,,
20201119,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201125,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"6",,"2",,"8",,,,,,,,,,,,,,,,,,,,,,
20201126,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201203,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201210,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,"8",,"2",,"9",,,,,,,,,,,,,,,,,,,,,,
20201217,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201224,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,"9",,"2",,"9",,,,,,,,,,,,,,,,,,,,,,
20201231,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210107,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210128,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"9",,"2",,"9",,,,,,,,,,,,,,,,,,,,,,
20210204,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"9",,"2",,"9",,,,,,,,,,,,,,,,,,,,,,
20210211,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"9",,"2",,"9",,,,,,,,,,,,,,,,,,,,,,
20210218,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"9",,"2",,"9",,,,,,,,,,,,,,,,,,,,,,
20210225,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"9",,"2",,"9",,,,,,,,,,,,,,,,,,,,,,
20210304,"MN","HENNEPIN",,"ABIITAN MILL CITY","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"6",,"2",,"10",,,,"16",,,,,,,,,,,,,,,,,,
20200702,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200709,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"0",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20200716,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"0",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20200806,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"1",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20200820,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"0",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20200827,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200903,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20200910,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200917,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20200924,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20201029,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20201112,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20201125,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"1",,"0",,"5",,,,,,,,,,,,,,,,,,,,,,
20201126,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201203,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201210,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,"3",,"0",,"6",,,,,,,,,,,,,,,,,,,,,,
20201217,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201224,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,"3",,"0",,"7",,,,,,,,,,,,,,,,,,,,,,
20201231,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210128,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"3",,"1",,"3",,,,,,,,,,,,,,,,,,,,,,
20210204,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"3",,"1",,"7",,,,,,,,,,,,,,,,,,,,,,
20210211,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home ","Federal ",,"245509",,,,,"3",,"1",,"7",,,,,,,,,,,,,,,,,,,,,,
20210218,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","SKILLED NURSING","Nursing Home","Federal",,"245509",,,,,"3",,"1",,"7",,,,,,,,,,,,,,,,,,,,,,
20210225,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","UNCATEGORIZED LTC","Nursing Home","Federal ",,"245509",,,,,"3",,"1",,"7",,,,,,,,,,,,,,,,,,,,,,
20210304,"MN","MOWER",,"ADAMS HEALTH CARE CENTER","UNCATEGORIZED LTC","Nursing Home","Federal",,"245509",,,,,"3",,"1",,"7",,,,"10",,,,,,,,,,,,,,,,,,
20201203,"MN","OLMSTED",,"ADAPTA","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201210,"MN","OLMSTED",,"ADAPTA","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201217,"MN","OLMSTED",,"ADAPTA","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201210,"MN","OLMSTED",,"ADAPTA FOWELL FLATS","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20201224,"MN","OLMSTED",,"ADAPTA FOWELL FLATS","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210128,"MN","OLMSTED",,"ADAPTA FOWELL FLATS","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,
20210204,"MN","OLMSTED",,"ADAPTA FOWELL FLATS","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210211,"MN","OLMSTED",,"ADAPTA FOWELL FLATS","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210218,"MN","OLMSTED",,"ADAPTA FOWELL FLATS","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210225,"MN","OLMSTED",,"ADAPTA FOWELL FLATS","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210304,"MN","OLMSTED",,"ADAPTA FOWELL FLATS","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,"2",,,,,,,,,,,,,,,,,,
20200903,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,"0",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20200910,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200917,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,"0",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20200924,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20201029,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"1",,,,,,,,,,,,,,,,,,,,,,
20201112,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20201119,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201125,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20201126,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201210,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20201224,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210128,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,
20210204,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210211,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210218,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210225,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,,,,,,,,,,,,,,,,,,,
20210304,"MN","NOBLES",,"ADRIAN COUNTRY LIVING COTTAGES","UNCATEGORIZED LTC","Uncategorized LTC","State",," ",,,,,"0",,"0",,"2",,,,"2",,,,,,,,,,,,,,,,,,
20210211,"MN","ST. LOUIS",,"AFTENRO HOME","SKILLED NURSING","Nursing Facility","Federal",,"24E355",,,,,"3",,"0",,"15",,,,,,,,,,,,,,,,,,,,,,
20210218,"MN","ST. LOUIS",,"AFTENRO HOME","SKILLED NURSING","Nursing Home","Federal",,"24E355",,,,,"3",,"0",,"15",,,,,,,,,,,,,,,,,,,,,,
20201015,"MN","ST. LOUIS",,"AFTENRO HOME","UNCATEGORIZED LTC","Nursing Facility","Federal",,"24E355",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,"MN","ST. LOUIS",,"AFTENRO HOME","UNCATEGORIZED LTC","Nursing Facility","Federal",,"24E355",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,"MN","ST. LOUIS",,"AFTENRO HOME","UNCATEGORIZED LTC","Nursing Facility","Federal",,"24E355",,,,,"1",,"0",,"4",,,,,,,,,,,,,,,,,,,,,,
20201105,"MN","ST. LOUIS",,"AFTENRO HOME","UNCATEGORIZED LTC","Nursing Facility","Federal",,"24E355",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201112,"MN","ST. LOUIS",,"AFTENRO HOME","UNCATEGORIZED LTC","Nursing Facility","Federal",,"24E355",,,"OPEN",,"1",,"0",,"6",,,,,,,,,,,,,,,,,,,,,,
20201119,"MN","ST. LOUIS",,"AFTENRO HOME","UNCATEGORIZED LTC","Nursing Facility","Federal",,"24E355",,,"OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
