"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment","last_recorded","ctp_id"
20200611,"ID","TWIN FALLS BLAINE COUNTY (CORRECTED 6/8/2020)","TWIN FALLS BELLEVUE (CORRECTED 6/8/2020)","COVE OF CASCADIA","UNCATEGORIZED LTC","NURSING HOME","Federal",,"135069",,,"CLOSED",,,,,,,,,,"1",,"0",,,,,,,,,,,,,,,,,,"ID00573"
20200702,"ID","OWYHEE","HOMEDALE","OWYHEE HEALTH & REHAB","UNCATEGORIZED LTC","NURSING HOME","Federal",,"135087",,,"OPEN",,,,,,,,,,"1",,"0",,,,,,,,,,,,,,,,,,"ID00651"
20200709,"ID","OWYHEE","HOMEDALE","OWYHEE HEALTH & REHAB","UNCATEGORIZED LTC","NURSING HOME","Federal",,"135087",,,,,,,,,,,,,"1",,"0",,,,,,,,,,,,,,,,,,"ID00651"
20200716,"ID","ADA","STAR","AUTUMN COVE","UNCATEGORIZED LTC","UNCATEGORIZED LTC","State",," ",,,"OPEN",,,,,,,,,,"1",,"0",,,,,,,,,,,,,,,,,,"ID00068"
20200716,"ID","OWYHEE","HOMEDALE","OWYHEE HEALTH & REHAB","UNCATEGORIZED LTC","NURSING HOME","Federal",,"135087",,,"OPEN",,,,,,,,,,"1",,"0",,,,,,,,,,,,,,,,,,"ID00651"
20200723,"ID","ADA","STAR","AUTUMN COVE","UNCATEGORIZED LTC","UNCATEGORIZED LTC","State",," ",,,"OPEN",,,,,,,,,,"5",,"0",,,,,,,,,,,,,,,,,,"ID00068"
20200723,"ID","OWYHEE","HOMEDALE","OWYHEE HEALTH & REHAB","UNCATEGORIZED LTC","NURSING HOME","Federal",,"135087",,,"OPEN",,,,,,,,,,"2",,"0",,,,,,,,,,,,,,,,,,"ID00651"
20200730,"ID","ADA","STAR","AUTUMN COVE","UNCATEGORIZED LTC","UNCATEGORIZED LTC","State",," ",,,"OPEN",,,,,,,,,,"5",,"1",,,,,,,,,,,,,,,,,,"ID00068"
20200730,"ID","OWYHEE","HOMEDALE","OWYHEE HEALTH & REHAB","UNCATEGORIZED LTC","NURSING HOME","Federal",,"135087",,,"OPEN",,,,,,,,,,"2",,"0",,,,,,,,,,,,,,,,,,"ID00651"
20200806,"ID","ADA","STAR","AUTUMN COVE","UNCATEGORIZED LTC","UNCATEGORIZED LTC","State",," ",,,"OPEN",,,,,,,,,,"5",,"1",,,,,,,,,,,,,,,,,,"ID00068"
